2020/8/3,2020/8/9,28.6,0
2020/8/10,2020/8/16,30.6,0
2020/8/17,2020/8/23,29,46.5
2020/8/24,2020/8/30,29.1,1
2020/8/31,2020/9/6,27.7,28
2020/9/7,2020/9/13,27.1,35.5
2020/9/14,2020/9/20,25.1,5.5
2020/9/21,2020/9/27,20.4,38
2020/9/28,2020/10/4,21.2,2
2020/10/5,2020/10/11,18.5,170.5
2020/10/12,2020/10/18,18,29
2020/10/19,2020/10/25,16.5,18
2020/10/26,2020/11/1,16.2,0
2020/11/2,2020/11/8,15.7,7
2020/11/9,2020/11/15,13.5,1
2020/11/16,2020/11/22,17.7,0
2020/11/23,2020/11/29,12.6,1
2020/11/30,2020/12/6,9.4,9
2020/12/7,2020/12/13,10.9,0
2020/12/14,2020/12/20,6.7,0
2020/12/21,2020/12/27,8.4,0
2020/12/28,2021/1/3,7.4,8.5
2021/1/4,2021/1/10,5.3,0
2021/1/11,2021/1/17,6.7,0.5
2021/1/18,2021/1/24,5.9,33.5
2021/1/25,2021/1/31,7,12.5
2021/2/1,2021/2/7,8.7,7
2021/2/8,2021/2/14,8.6,0
2021/2/15,2021/2/21,10.1,90.5
2021/2/22,2021/2/28,9.1,0
2021/3/1,2021/3/7,11.1,19.5
2021/3/8,2021/3/14,11,89.5
2021/3/15,2021/3/21,14.4,42
2021/3/22,2021/3/28,14.1,12
2021/3/29,2021/4/4,17.4,75
2021/4/5,2021/4/11,12.6,9.5
2021/4/12,2021/4/18,14.7,84
2021/4/19,2021/4/25,16.4,0
2021/4/26,2021/5/2,16.8,54
2021/5/3,2021/5/9,18.8,6.5
2021/5/10,2021/5/16,18.9,14
2021/5/17,2021/5/23,20.4,34
2021/5/24,2021/5/30,20.9,47.5
2021/5/31,2021/6/6,21.5,42
